Transaction_ID,Transaction_date,Gender,Age,Marital_status,State_names,Referal,Employees_status,Payment_method,Segment,Amount_spent
151200,1/1/2019,Female,19,Single,Kansas,1,Unemployment,Other,Basic,2051.36
151201,1/1/2019,Male,49,Single,Illinois,0,self-employed,Card,Basic,544.04
151202,1/1/2019,Male,63,Married,New Mexico,1,workers,PayPal,Basic,1572.6
151203,1/1/2019,Female,18,Single,Virginia,1,workers,Card,Platinum,1199.79
151204,1/1/2019,Male,27,Single,Connecticut,0,self-employed,Card,Basic,2968.95
151205,1/3/2019,Male,71,Single,Hawaii,1,Employees,PayPal,Basic,2922.66
151206,1/3/2019,Female,34,Married,New Mexico,1,Employees,PayPal,Platinum,1481.42
151207,1/3/2019,Male,37,Married,Connecticut,1,workers,PayPal,Basic,1149.55
151208,1/4/2019,Male,75,Married,Florida,0,Employees,Card,Silver,1046.2
151209,1/4/2019,Female,41,Married,Vermont,1,Unemployment,Card,Gold,2730.6
151210,1/4/2019,Female,56,Married,California,0,Employees,PayPal,Basic,1712.82
151211,1/5/2019,Female,63,Married,Colorado,1,workers,Other,Basic,154.31
151212,1/5/2019,Female,60,Married,Iowa,1,self-employed,Card,Basic,819.08
151213,1/5/2019,Male,47,Single,South Carolina,1,Employees,PayPal,Basic,1719.83
151214,1/5/2019,Male,24,Married,Colorado,1,self-employed,Other,Platinum,954.12
151215,1/6/2019,Male,16,Single,New York,1,workers,Other,Platinum,1005.92
151216,1/6/2019,Female,72,Married,Maine,1,self-employed,PayPal,Silver,2882.77
151217,1/7/2019,Female,77,Married,New Mexico,0,workers,Card,Platinum,2999.98
151218,1/7/2019,Male,42,Married,Maryland,0,self-employed,Other,Basic,1902.73
151219,1/8/2019,Female,46,Married,Missouri,1,Employees,Card,Basic,2968.95
151220,1/8/2019,Female,19,Married,Hawaii,0,workers,PayPal,Missing,1312.78
151221,1/8/2019,Male,42,Married,North Dakota,0,workers,PayPal,Silver,995.77
151222,1/8/2019,Female,50,Married,Ohio,0,workers,Card,Missing,719.13
151223,1/9/2019,Male,47,Single,Nebraska,1,self-employed,PayPal,Basic,2407.36
151224,1/10/2019,Female,32,Single,Montana,0,Employees,PayPal,Basic,2737.41
151225,1/11/2019,Male,25,Married,Indiana,1,self-employed,Other,Basic,1514.75
151226,1/12/2019,Male,33,Married,Wisconsin,1,self-employed,Card,Basic,293.58
151227,1/12/2019,Male,61,Married,Alabama,1,workers,Card,Platinum,1094.67
151228,1/12/2019,Male,75,Married,Alabama,1,self-employed,PayPal,Basic,233.05
151229,1/12/2019,Female,62,Married,Indiana,1,Employees,Other,Silver,2734.15
151230,1/12/2019,Male,17,Married,Maine,1,Employees,PayPal,Basic,1115.9
151231,1/13/2019,Female,21,Single,Montana,0,Employees,Card,Basic,2035.07
151232,1/13/2019,Male,39,Single,Arkansas,0,Employees,Other,Basic,128.29
151233,1/14/2019,Male,15,Married,Missouri,1,self-employed,Card,Gold,628.93
151234,1/14/2019,Female,59,Married,Pennsylvania,0,Employees,Card,Basic,1729.36
151235,1/14/2019,Male,70,Married,New Hampshire,1,workers,Other,Silver,2040.29
151236,1/14/2019,Male,75,Married,Washington,1,Employees,PayPal,Platinum,2744.88
151237,1/16/2019,Male,64,Married,Texas,1,Employees,PayPal,Missing,351.88
151238,1/16/2019,Female,64,Married,Ohio,0,Unemployment,Other,Silver,692.14
151239,1/17/2019,Male,64,Married,New York,1,Unemployment,PayPal,Silver,2418.62
151240,1/17/2019,Female,21,Married,Kentucky,0,workers,Card,Basic,2734.15
151241,1/17/2019,Female,46,Married,New Mexico,1,workers,PayPal,Silver,2851.83
151242,1/17/2019,Female,16,Single,Texas,1,self-employed,PayPal,Gold,938.16
151243,1/18/2019,Female,63,Married,Maine,1,workers,PayPal,Gold,281.92
151244,1/19/2019,Male,75,Single,Massachusetts,1,Employees,PayPal,Basic,747.68
151245,1/20/2019,Male,70,Married,Wyoming,1,Unemployment,Card,Basic,1784.15
151246,1/20/2019,Male,41,Single,Kentucky,1,Employees,PayPal,Missing,1115.9
151247,1/21/2019,Male,33,Married,Florida,0,Employees,Other,Silver,1902.47
151248,1/21/2019,Female,64,Single,Massachusetts,1,self-employed,Card,Platinum,1949.92
